X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
3.65827,58.0,5.0,132.912,141.525,5.0,7.0,7.0,0.0,0.0,0.0
4.2971,58.961,5.00717,133.899,141.526,5.0,7.0,7.0,0.000111061,0.000192077,1.64786e-06
4.79177,59.9144,5.01367,136.652,141.527,5.0,7.0,7.0,8.83011e-05,0.00018679,7.78222e-07
5.19432,60.8124,5.01308,140.977,141.521,5.0,7.0,7.0,7.34236e-05,0.000169024,-1.31724e-06
5.53537,61.6156,5.00719,145.517,141.49,5.0,7.0,7.0,6.40092e-05,0.000153097,6.61282e-07
5.84073,62.3394,5.01352,148.73,141.476,5.0,7.0,7.0,5.6948e-05,0.000138264,2.9658e-06
6.12363,62.9855,5.03548,150.761,141.441,5.0,7.0,7.0,5.74915e-05,0.000133752,4.16808e-06
6.40966,63.6763,5.05497,152.133,141.457,5.0,7.0,7.0,5.72066e-05,0.000144522,4.40037e-06
6.69691,64.3734,5.07867,153.062,141.443,5.0,7.0,7.0,5.70694e-05,0.00013272,5.73497e-06
6.99556,65.004,5.10768,152.798,141.448,5.0,7.0,7.0,5.91996e-05,0.000126552,5.81036e-06
7.29865,65.6099,5.12297,152.724,141.443,5.0,7.0,7.0,6.26767e-05,0.000109432,5.63638e-07
7.6304,66.0899,5.10601,152.817,141.436,5.0,7.0,7.0,7.01737e-05,9.11815e-05,-5.77702e-06
7.9871,66.5906,5.09849,152.827,141.439,5.0,7.0,7.0,7.40479e-05,9.87335e-05,-5.45189e-07
8.36415,67.0624,5.09065,152.925,141.44,5.0,7.0,7.0,7.45423e-05,8.14439e-05,-1.98747e-06
8.75944,67.6997,5.11797,153.048,141.431,5.0,7.0,7.0,8.47952e-05,0.000126796,9.16416e-06
9.17971,68.3345,5.15676,153.121,141.445,5.0,7.0,7.0,8.61228e-05,0.000145702,7.97263e-06
9.62785,68.9798,5.19915,153.071,141.436,5.0,7.0,7.0,9.38018e-05,0.000153252,8.4022e-06
10.1047,69.6461,5.25152,152.888,141.442,5.0,7.0,7.0,9.72712e-05,0.000126261,9.95828e-06
10.5948,70.2537,5.29855,152.518,141.424,5.0,7.0,7.0,9.8357e-05,0.000114849,8.06006e-06
11.0784,70.8136,5.34089,151.904,141.443,5.0,7.0,7.0,9.81605e-05,0.000115587,9.01828e-06
11.5571,71.3523,5.37947,151.247,141.422,5.0,7.0,7.0,9.58307e-05,0.000105295,6.82005e-06
12.046,71.8953,5.41709,150.644,141.449,5.0,7.0,7.0,9.54143e-05,0.000104339,7.2589e-06
12.5241,72.4003,5.44362,150.128,141.43,5.0,7.0,7.0,9.78233e-05,9.81677e-05,4.52109e-06
13.0162,72.852,5.47425,149.877,141.454,5.0,7.0,7.0,0.00010489,9.93407e-05,6.55145e-06
13.5224,73.309,5.50394,149.756,141.425,5.0,7.0,7.0,9.68489e-05,8.60021e-05,5.39682e-06
14.0262,73.7053,5.53258,149.846,141.434,5.0,7.0,7.0,0.000102674,7.62324e-05,5.72263e-06
14.5656,74.1148,5.56817,150.087,141.434,5.0,7.0,7.0,0.000107544,7.7726e-05,9.07692e-06
15.0997,74.4887,5.60596,150.124,141.421,5.0,7.0,7.0,0.000115716,7.83215e-05,5.17725e-06
15.6205,74.8325,5.63315,150.216,141.434,5.0,7.0,7.0,0.000109698,7.09731e-05,5.05708e-06
16.1723,75.1895,5.65374,150.315,141.431,5.0,7.0,7.0,0.000117805,7.63738e-05,1.954e-06
16.7823,75.5244,5.67835,150.398,141.416,5.0,7.0,7.0,0.000124491,5.86568e-05,7.28054e-06
17.4667,75.833,5.71466,150.541,141.42,5.0,7.0,7.0,0.000142325,6.31942e-05,8.572e-06
18.1601,76.1307,5.77794,151.13,141.404,5.0,7.0,7.0,0.00013846,5.94305e-05,1.27405e-05
18.8482,76.4076,5.85373,151.361,141.413,5.0,7.0,7.0,0.000150005,5.77325e-05,1.11886e-05
19.7264,76.7035,5.90775,151.797,141.396,5.0,7.0,7.0,0.000195383,6.8776e-05,1.30395e-05
20.7589,77.0048,5.96602,152.07,141.404,5.0,7.0,7.0,0.000209401,5.25457e-05,1.37231e-05
21.8011,77.2417,6.03338,152.345,141.407,5.0,7.0,7.0,0.000208733,4.05988e-05,1.65584e-05
22.8896,77.4101,6.10127,153.069,141.407,5.0,7.0,7.0,0.000222823,3.1294e-05,2.13444e-05
24.0314,77.5267,6.19956,153.67,141.414,9.0,7.0,7.0,0.00024333,1.30967e-05,2.70344e-05
25.2714,77.5701,6.33567,153.858,141.425,9.0,7.0,7.0,0.000251699,5.11173e-06,2.73805e-05
26.5782,77.5748,6.48141,153.99,141.414,9.0,7.0,7.0,0.000268361,-1.89744e-06,3.09953e-05
27.9733,77.5157,6.66694,154.18,141.379,9.0,7.0,7.0,0.000282204,-1.28629e-05,3.6862e-05
29.4703,77.4275,6.84424,154.158,141.366,5.0,7.0,7.0,0.000309203,-1.90809e-05,3.56331e-05
31.0626,77.2815,7.0415,154.124,141.335,5.0,7.0,7.0,0.000342387,-3.64896e-05,3.35143e-05
32.7541,77.0835,7.20992,154.37,141.324,5.0,7.0,7.0,0.000365616,-5.51261e-05,4.08898e-05
34.5661,76.8048,7.35634,155.553,141.279,5.0,7.0,7.0,0.000363863,-6.30202e-05,2.28541e-05
36.4599,76.4075,7.48942,157.442,141.277,5.0,7.0,7.0,0.000385287,-9.51983e-05,2.73485e-05
